,Latitude_DD,Longitude_DD,SAFE-pH
18726,28.645,-81.8464,0.0
18808,28.75194278,-81.90166411,1.0
18830,28.70128,-81.85039001,0.0
18878,28.7480325,-81.8748525,1.0
18885,28.7525,-81.9016667,0.0
18898,28.743889,-81.873056,1.0
18964,28.7525,-81.9016667,0.0
19055,28.7480325,-81.8748525,1.0
19059,28.7480325,-81.8748525,1.0
19076,28.754084,-81.87513,0.0
19214,28.64211058,-81.84059736,0.0
19238,28.7525,-81.9016667,1.0
19244,28.74388889,-81.87305556,1.0
19306,28.64211058,-81.84059736,0.0
19310,28.74388889,-81.87305556,1.0
19317,28.74388889,-81.87305556,1.0
19360,28.7480325,-81.8748525,1.0
19373,28.74388889,-81.87305556,1.0
19375,28.754084,-81.87513,0.0
19383,28.74388889,-81.87305556,1.0
19399,28.75029722,-81.92889167,1.0
